高校名,学校独自URL
成女高等学校,http://www.seijo-gk.ac.jp/
安部学院高等学校,https://www.abe-gakuin.ed.jp/
佼成学園女子高等学校,https://www.girls.kosei.ac.jp/
中村高等学校,https://www.nakamura.ed.jp
多摩大学目黒高等学校,http://www.tmh.ac.jp/
国本女子高等学校,https://kunimoto.ac.jp/jsh/
日本大学櫻丘高等学校,https://www.sakura.chs.nihon-u.ac.jp/
日本大学鶴ヶ丘高等学校,https://www.tsurugaoka.hs.nihon-u.ac.jp/
フェリシア高等学校,https://www.felicia.ed.jp/
女子美術大学付属高等学校,http://www.joshibi.ac.jp/fuzoku/
日本体育大学桜華高等学校,http://www.ohka.ed.jp/
帝京大学高等学校,https://www.teikyo-u.ed.jp/
聖徳学園高等学校,http://jsh.shotoku.ed.jp
立志舎高等学校,https://www.risshisha.ed.jp/
神田女学園高等学校,https://www.kandajogakuen.ed.jp/
開智日本橋学園高等学校,http://www.kng.ed.jp
自由ヶ丘学園高等学校,http://www.jiyugaoka.ed.jp
サレジアン国際学園高等学校,https://www.salesian.international.seibi.ac.jp
東亜学園高等学校,https://toagakuen.ac.jp/
佼成学園高等学校,https://www.kosei.ac.jp/boys/
世田谷学園高等学校,http://www.setagayagakuen.ac.jp/
帝京高等学校,https://www.teikyo.ed.jp/
日本大学豊山女子高等学校,https://www.buzan-joshi.hs.nihon-u.ac.jp/senior/
東京女子学院高等学校,https://www.tjg.ac.jp/
明法高等学校,http://www.meiho.ed.jp/
明星高等学校,https://www.meisei.ac.jp/hs/
東京純心女子高等学校,http://www.t-junshin.ac.jp/jhs/
大島高等学校（定時制）,https://www.metro.ed.jp/oshima-he/
明聖高等学校 中野キャンパス（通信制）,https://www.meisei-hs.ac.jp/nakano_hs/
順天堂大学系属理数インター高等学校,https://www.hosen.ed.jp/shs/
東京成徳大学高等学校（中高一貫部）,https://www.tokyoseitoku.jp/js/
立志舎高等学校（通信制）,https://www.risshisha.ed.jp/
