高校名,学校独自URL,生徒数,国公立合格者数,合格率
身延山高等学校,http://www.min.ac.jp/minhi/,-,-,-
日本大学明誠高等学校,http://www.meisei.hs.nihon-u.ac.jp/,-,-,-
塩山高等学校,http://www.enzanh.kai.ed.jp/,-,-,-
甲府商業高等学校,http://www.kchs.city.kofu.yamanashi.jp/,-,-,-
富士河口湖高等学校,http://www.kai.ed.jp/kawaguch/,-,-,-
身延高等学校,http://www.minobu.kai.ed.jp/,-,-,-
甲陵高等学校,http://koryo.main.jp/hs/,-,-,-
上野原高等学校,http://www.kai.ed.jp/ueko/index.htm,-,-,-
甲府東高等学校,http://www.kai.ed.jp/higasih/,-,-,-
甲府西高等学校,http://www.nishi.kai.ed.jp/,-,-,-
富士北稜高等学校,http://www.hokuryoh.kai.ed.jp/,-,-,-
吉田高等学校,http://www.yoshidah.kai.ed.jp/,-,-,-
甲府城西高等学校,https://www.josaih.kai.ed.jp/,1,-,-
甲府工業高等学校,https://www.kofu-th.ed.jp/,-,-,-
甲斐清和高等学校,https://seika.ito-gakuen.ed.jp/,-,-,-
駿台甲府高等学校　塩部キャンパス,https://www.sundai-kofu.ed.jp/high/index.html,-,-,-
日本航空高等学校（通信制）,http://www.wing-hs.jp/,-,-,-
富士学苑高等学校,https://gekkouji.ac.jp/,-,-,-
駿台甲府高等学校　今井キャンパス,https://www.sundai-kofu.ed.jp/art/index.html,-,-,-
山梨英和高等学校,http://www.yamanashi-eiwa.ac.jp/jsh/,-,-,-
帝京第三高等学校,https://www.teikyo3.ed.jp/,-,-,-
山梨学院高等学校,http://www.yghs.ed.jp,-,-,-
自然学園高等学校（通信制）,http://shizengakuen.ed.jp/,-,-,-
中央高等学校（定時制）,http://www.kai.ed.jp/chuouh/index.htm,-,-,-
日本航空高等学校,http://www.jaaw-hs.net,-,-,-
駿台甲府高等学校通信制課程,https://www.sundai-kofu.ed.jp/corr/index.html,-,-,-
東海大学付属甲府高等学校,https://www.kofu.tokai.ed.jp/,-,-,-
